,car_id,name,amount,region,condition,mileage
166,wuZjJWvRQVsOEtr47e8ighyJ,Toyota Land Cruiser 2010 Black, 15120000,"Abuja (FCT), Jabi",Nigerian Used,130858 
167,hNo7ck5mWjNpAnMKM8nnnSDh,Ford Edge 2008 Blue, 3640000,"Lagos State, Isolo",Nigerian Used,188397 
168,Baa0UarmwU97UUpiN8NPWryz,Toyota Sienna 2011 Red, 6825000,"Lagos State, Ogba",Foreign Used,197845 
169,sbMU1UExu0oZzajlwqB08Hrx,Infiniti JX 2013 Red, 4326000,"Lagos State, Lekki",Nigerian Used,223836 
170,v9BEOGu9tqWItk6lFwC2FW1a,Lexus ES 2005 Gold, 3120000,"Abuja (FCT), Gwarinpa",Nigerian Used,234827 
171,qb3H6tyqSazjGnwS0FH93x9Q,Mercedes-Benz M Class 2013 Silver, 10263750,"Abuja (FCT), Wuse",Nigerian Used,55694 
172,12WqgdGupR3PE1V74AT9YgVC,Lexus GS 2009 Black, 4680000,"Lagos State, Alimosho",Nigerian Used,149324 
173,uwVcH5Z337luj6b4AVbwowMR,Toyota Sienna 2016 Silver, 9975000,"Lagos State, Ikoyi",Nigerian Used,102782 
174,zkIoHdMZdtlqW4bZmxZ9iKlr,Mercedes-Benz C300 2009 White, 4680000,"Oyo State, Ibadan",Nigerian Used,Nigerian Used
175,dicrw6cu0YCGcbXVwINgdU7h,Toyota Coaster 2013 White, 31500000,"Abuja (FCT), Katampe",Nigerian Used,378288 
176,oJ5GwqDAq3bGjqbcLpBdN24x,Toyota Sienna 2006 White, 4515000,"Lagos State, Ifako-Ijaiye",Foreign Used,280658 
177,2Bfpt5WLPrfFT04r5mwACOmH,Lexus RX 350 AWD 2012 Gray, 12000000,"Ondo State, Akure",Foreign Used,152087 
178,7CSfJKc9uTndBQtZ7GCMw1fx,Toyota RAV4 2007 Red, 6864000,"Kaduna State, Kaduna / Kaduna State",Foreign Used,182272 
179,CiZXOIPuDgWQWoGYHSfW6uex,Mercedes-Benz CLA-Class 2016 White, 8726550,"Abuja (FCT), Katampe",Nigerian Used,109877 
180,yobgtCMVQs61PFuBPn0Ugr9D,Ford Edge 2011 Brown, 3570000,"Lagos State, Lekki",Nigerian Used,202468 
182,ikwbdiS2bwQdM34EoIftR35E,Lexus RX 350 2017 White, 26000000,"Abuja (FCT), Garki 2",Nigerian Used,79688 
183,3x0kK2y5MIRtQA6iylT0OLnP,Toyota Venza V6 2010 White, 6500000,"Ondo State, Akure",Nigerian Used,198862 
184,w8UC9S3zg4MUFSmyc9VnLNvj,Pontiac Vibe 2010 Black, 3360000,"Lagos State, Ikeja",Nigerian Used,140966 
185,BwecAiDTfyhzKrLOuoe2rlpB,Honda Pilot 2009 Beige, 3622500,"Lagos State, Lekki",Nigerian Used,107165 
187,iGujkPIDrxR2UETqMnkAEzzD,Acura MDX 2007 Black, 4472000,"Lagos State, Ogudu",Nigerian Used,105543 
189,6vI7bjQE7J4RKMQGAjPYFEdJ,Hyundai Sonata 2018 White, 9975000,"Lagos State, Lekki",Nigerian Used,113523 
190,krj46VeXErfhkFfzYp7rgV0N,Pontiac Vibe 1.8L 2009 Red, 3640000,"Lagos State, Ikeja",Nigerian Used,211705 
193,kHpm0RJwDdWI0GvDzWThcnHl,Honda Pilot 2010 Blue, 4680000,"Abuja (FCT), Kubwa",Nigerian Used,164798 
194,vCNW1cL8Rha6nEzf4vzTsNN,Mitsubishi SpaceWagon 1999 Silver, 1365000,"Oyo State, Ibadan",Nigerian Used,245967 
195,7EoqoYf6geh3SodK4ECNAcS6,Ford Edge 2013 Blue, 3675000,"Lagos State, Ajah",Nigerian Used,287342 
196,mnNBP7eE6McWC3hlXQLhEKUT,Toyota Sienna LE FWD (3.3L V6 5A) 2004 Gold, 3570000,"Lagos State, Isolo",Nigerian Used,381918 
197,9ZlpegCBNq5seVJSEGjEh4Uo,Mercedes-Benz CLA-Class 2015 Black, 13936000,"Abuja (FCT), Gwarinpa",Foreign Used,262509 
198,tAg0eqa5EKApWWq4rtJ2qLXc,Toyota Sienna XLE AWD (3.3L V6 5A) 2004 Silver, 3045000,"Ondo State, Akure",Nigerian Used,329782 
200,C6x5poM2uvBrHOXpkEzbrdSI,Mitsubishi Eclipse Cross 1.5 AWD 2020 Blue, 18900000,"Abuja (FCT), Garki 2",Nigerian Used,35237 
